iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,376344.73144705436,False,Bound not satisfied,93.75,"{('3', '4'): np.float64(0.0010331849796081094), ('3', '9'): np.float64(0.04261800138977543), ('3', '12'): np.float64(0.003265092552146132), ('3', '13'): np.float64(0.00163254675093273), ('4', '9'): np.float64(0.32418598777028024), ('4', '12'): np.float64(0.7367879514574581), ('4', '13'): np.float64(0.736788128304829), ('4', '24'): np.float64(2.2521775169162206), ('5', '9'): np.float64(0.03665653266627056), ('5', '10'): np.float64(14.56520180149198), ('5', '12'): np.float64(0.21077725154253024), ('5', '13'): np.float64(0.2107773080588444), ('5', '15'): np.float64(3.8283889131499618), ('7', '18'): np.float64(0.04347366170357091), ('9', '3'): np.float64(0.0428400616432936), ('9', '4'): np.float64(0.3791274324740686), ('9', '5'): np.float64(0.04298343858353511), ('9', '15'): np.float64(0.44265351821563736), ('10', '5'): np.float64(17.062178148786384), ('11', '14'): np.float64(0.008231273644725152), ('12', '3'): np.float64(0.0034282614705965927), ('12', '4'): np.float64(0.7813430090229608), ('12', '5'): np.float64(0.24004045171139313), ('13', '3'): np.float64(0.0017141312285358103), ('13', '4'): np.float64(0.7813431940652579), ('13', '5'): np.float64(0.24004050878020988), ('14', '9'): np.float64(13.256739798033436), ('14', '11'): np.float64(0.006339508984540538), ('14', '19'): np.float64(0.028906789501469354), ('15', '5'): np.float64(4.522556089697459), ('15', '9'): np.float64(0.4376517369607679), ('16', '18'): np.float64(0.12918813675366192), ('18', '7'): np.float64(0.058317836969490486), ('18', '16'): np.float64(0.19986266679105008), ('21', '1'): np.float64(0.7714926186659135), ('24', '4'): np.float64(4.033931021533956)}"
3,272114.09910058376,False,Bound not satisfied,91.31944444444444,"{('1', '3'): np.float64(0.0002291432023494579), ('1', '12'): np.float64(0.003436124191771835), ('1', '13'): np.float64(0.008590312117919132), ('2', '1'): np.float64(0.0015653724022696317), ('2', '3'): np.float64(0.09317953457185794), ('2', '5'): np.float64(7.270425495182076), ('2', '12'): np.float64(0.09413218076902873), ('2', '13'): np.float64(0.2823445269103858), ('3', '4'): np.float64(0.0036662280967087995), ('3', '6'): np.float64(75.8285932914727), ('3', '9'): np.float64(0.0382337310429929), ('3', '12'): np.float64(0.0032573749367874314), ('3', '13'): np.float64(0.001628687943272777), ('4', '3'): np.float64(0.003736951888206337), ('4', '5'): np.float64(0.00020683034242578895), ('4', '9'): np.float64(0.2847034464326248), ('4', '12'): np.float64(0.7508039983612433), ('4', '13'): np.float64(0.7508041893726716), ('4', '24'): np.float64(3.378178616844809), ('5', '2'): np.float64(10.276395375155362), ('5', '4'): np.float64(0.00035882626498054247), ('5', '9'): np.float64(0.00693124367650997), ('5', '10'): np.float64(4.631452941803067), ('5', '12'): np.float64(0.23432219583242553), ('5', '13'): np.float64(0.23432234096309462), ('5', '15'): np.float64(1.8217231990580327), ('6', '3'): np.float64(130.19165614773345), ('6', '12'): np.float64(87.21276454251243), ('6', '13'): np.float64(87.06314702874435), ('7', '18'): np.float64(0.042085499846479), ('9', '4'): np.float64(0.14405582990630156), ('9', '15'): np.float64(0.30294743835273674), ('12', '1'): np.float64(0.0026174113526350666), ('12', '3'): np.float64(0.003428162953890208), ('12', '4'): np.float64(0.7890582033999809), ('12', '5'): np.float64(0.24718855090981137), ('12', '6'): np.float64(52.40149953873187), ('13', '1'): np.float64(0.0065435267478365375), ('13', '3'): np.float64(0.00171408197018262), ('13', '4'): np.float64(0.7890583988387573), ('13', '5'): np.float64(0.24718861620897287), ('13', '6'): np.float64(52.401070745696224), ('16', '18'): np.float64(0.24541066155698482), ('17', '1'): np.float64(122.40903869278819), ('18', '7'): np.float64(0.04751447777686522), ('18', '16'): np.float64(0.2593516705350494), ('19', '5'): np.float64(20.79777624044974), ('21', '23'): np.float64(0.154520281086576), ('24', '4'): np.float64(2.8502395843180994), ('24', '6'): np.float64(24.041363759125137)}"
4,199780.69578278292,False,Bound not satisfied,92.1875,"{('1', '2'): np.float64(0.0015905906978556246), ('1', '3'): np.float64(0.00015087586937546078), ('1', '12'): np.float64(0.0032319285136510763), ('1', '13'): np.float64(0.008079822042125994), ('2', '1'): np.float64(0.0011727743402127075), ('2', '3'): np.float64(0.059914068456623754), ('2', '5'): np.float64(2.4416934296970485), ('2', '12'): np.float64(0.06084760495309245), ('2', '13'): np.float64(0.18242345118089198), ('3', '1'): np.float64(0.00020438611659414239), ('3', '2'): np.float64(0.08065756628990224), ('3', '4'): np.float64(0.0019606209959870564), ('3', '12'): np.float64(0.003197751458095349), ('3', '13'): np.float64(0.0015988762043469946), ('4', '3'): np.float64(0.0027270640636750097), ('4', '9'): np.float64(0.17689967232087103), ('4', '12'): np.float64(0.7328146596262656), ('4', '13'): np.float64(0.7328149516353111), ('5', '9'): np.float64(0.020309768201959108), ('5', '12'): np.float64(0.22473100752326763), ('5', '13'): np.float64(0.22473118849587254), ('7', '18'): np.float64(0.024260830438099127), ('9', '3'): np.float64(0.04434610562281699), ('9', '4'): np.float64(0.29420960183578215), ('9', '15'): np.float64(0.41518689433007583), ('11', '15'): np.float64(287.0781548188017), ('11', '19'): np.float64(78.67357176759774), ('12', '1'): np.float64(0.0025128152993370567), ('12', '2'): np.float64(0.08133770477800725), ('12', '3'): np.float64(0.0022847731068866067), ('12', '4'): np.float64(0.462989192884298), ('12', '5'): np.float64(0.14720769138024473), ('13', '1'): np.float64(0.006282032768433322), ('13', '2'): np.float64(0.24398177026367174), ('13', '3'): np.float64(0.001142387283055316), ('13', '4'): np.float64(0.4629922130508985), ('13', '5'): np.float64(0.1472083018687112), ('14', '11'): np.float64(0.0021353671239317), ('15', '9'): np.float64(0.14152875103338364), ('15', '11'): np.float64(324.2327648904334), ('16', '18'): np.float64(0.1998355077665343), ('18', '7'): np.float64(0.0357770864739381), ('18', '16'): np.float64(0.11191648378894847), ('19', '11'): np.float64(88.21888434016091), ('23', '22'): np.float64(130.8958481216293)}"
5,160465.88295914602,False,Bound not satisfied,90.79861111111111,"{('1', '3'): np.float64(0.000293072081803389), ('1', '4'): np.float64(0.03479885823127461), ('1', '12'): np.float64(0.002855058507728672), ('1', '13'): np.float64(0.007137644746967771), ('2', '1'): np.float64(0.00219353096718314), ('2', '3'): np.float64(0.11731859779732721), ('2', '12'): np.float64(0.11806035637817114), ('2', '13'): np.float64(0.3541553913965443), ('3', '4'): np.float64(0.004390130438599534), ('3', '5'): np.float64(0.0018669671741126468), ('3', '9'): np.float64(0.03940539185789386), ('3', '12'): np.float64(0.0025181733895395498), ('3', '13'): np.float64(0.0012590873040372855), ('4', '1'): np.float64(0.051242380196529574), ('4', '2'): np.float64(15.056058660826626), ('4', '3'): np.float64(0.003935696918697198), ('4', '5'): np.float64(0.00019294076161851097), ('4', '9'): np.float64(0.2133737714937979), ('4', '12'): np.float64(0.562673353961325), ('4', '13'): np.float64(0.5626784438022391), ('4', '24'): np.float64(1.4911795291875436), ('5', '3'): np.float64(0.006121363042371856), ('5', '4'): np.float64(0.00013690422935464455), ('5', '9'): np.float64(0.023932725506763917), ('5', '12'): np.float64(0.1923274463802895), ('5', '13'): np.float64(0.1923278744551909), ('7', '18'): np.float64(0.03829891433300123), ('9', '3'): np.float64(0.037012726402078575), ('9', '4'): np.float64(0.21233404418192), ('9', '5'): np.float64(0.006564663959685701), ('9', '15'): np.float64(0.3329270432924033), ('11', '1'): np.float64(3.2053874533057183), ('11', '2'): np.float64(5.5506494389157695), ('11', '3'): np.float64(3.7112573312079107), ('12', '1'): np.float64(0.0026350891582000357), ('12', '3'): np.float64(0.003318993010389626), ('12', '4'): np.float64(0.7585338937302717), ('12', '5'): np.float64(0.25423970274141783), ('13', '1'): np.float64(0.0065877215316332135), ('13', '3'): np.float64(0.0016594970020980496), ('13', '4'): np.float64(0.7585342197300404), ('13', '5'): np.float64(0.254239772057912), ('14', '11'): np.float64(0.0051286531967785), ('15', '9'): np.float64(0.30344183038967976), ('16', '2'): np.float64(20.433402392977676), ('16', '6'): np.float64(13.855381058403196), ('16', '8'): np.float64(43.71741479209618), ('16', '18'): np.float64(0.3612703520340994), ('18', '7'): np.float64(0.06156362722882073), ('18', '16'): np.float64(0.3073591322089195), ('19', '9'): np.float64(4.560584620590584), ('24', '1'): np.float64(0.00849758660014176), ('24', '4'): np.float64(2.7071504863529157)}"
6,119813.40002704738,False,Bound not satisfied,91.66666666666666,"{('1', '2'): np.float64(0.0012892804428336424), ('1', '12'): np.float64(0.0026575173557872893), ('1', '13'): np.float64(0.006643790778608445), ('2', '1'): np.float64(0.00028802660827782116), ('2', '3'): np.float64(0.012455805185895966), ('2', '5'): np.float64(5.894030194085381), ('2', '9'): np.float64(4.201674157084138), ('2', '12'): np.float64(0.013262018694503663), ('2', '13'): np.float64(0.039586551932759506), ('3', '1'): np.float64(0.00018490284637262322), ('3', '2'): np.float64(0.07608132469567913), ('3', '4'): np.float64(0.0024938292792015234), ('3', '9'): np.float64(0.01893134227475924), ('3', '12'): np.float64(0.002733724331229238), ('3', '13'): np.float64(0.0013668627069006636), ('4', '1'): np.float64(0.05050530039338956), ('4', '2'): np.float64(0.07082929328956311), ('4', '3'): np.float64(0.003798471918542875), ('4', '9'): np.float64(0.11549096563257483), ('4', '12'): np.float64(0.6193967774785729), ('4', '13'): np.float64(0.6194005561372404), ('4', '24'): np.float64(0.1836957042954448), ('5', '2'): np.float64(8.439481619599297), ('5', '3'): np.float64(0.001781013829978386), ('5', '4'): np.float64(0.000223630541665479), ('5', '9'): np.float64(0.013185485445771979), ('5', '12'): np.float64(0.2063600731955749), ('5', '13'): np.float64(0.20636040007344958), ('7', '18'): np.float64(0.029711668994567262), ('9', '3'): np.float64(0.04427161901521123), ('9', '4'): np.float64(0.24839926073070595), ('9', '5'): np.float64(0.011361533073074241), ('9', '15'): np.float64(0.22293660412723226), ('12', '1'): np.float64(0.002639354211782397), ('12', '2'): np.float64(0.07738168846603827), ('12', '3'): np.float64(0.002252937711644972), ('12', '4'): np.float64(0.49406392009548), ('12', '5'): np.float64(0.16127796558846122), ('13', '1'): np.float64(0.006598380937706705), ('13', '2'): np.float64(0.23209277233883951), ('13', '3'): np.float64(0.001126469649653665), ('13', '4'): np.float64(0.494074224454785), ('13', '5'): np.float64(0.16127858936106562), ('16', '18'): np.float64(0.1493409408653168), ('18', '7'): np.float64(0.023003778540482543), ('18', '16'): np.float64(0.23521090150751642), ('24', '1'): np.float64(0.008918452497016137), ('24', '4'): np.float64(2.0788730841375775)}"
7,101421.69416961572,False,Bound not satisfied,93.75,"{('1', '2'): np.float64(0.001531141850862546), ('1', '12'): np.float64(0.0014280219417067159), ('1', '13'): np.float64(0.003570040544273792), ('3', '1'): np.float64(0.0002023648527032953), ('3', '2'): np.float64(0.08040699365324364), ('3', '4'): np.float64(0.002094766764215189), ('3', '9'): np.float64(0.016640016429616218), ('3', '12'): np.float64(0.0015705125587290958), ('3', '13'): np.float64(0.0007852574150255523), ('4', '3'): np.float64(0.0019169225042263561), ('4', '9'): np.float64(0.09801373991429577), ('4', '12'): np.float64(0.3251851658756656), ('4', '13'): np.float64(0.3252113972759309), ('4', '24'): np.float64(1.1158386221564287), ('5', '2'): np.float64(6.177580438067765), ('5', '9'): np.float64(0.011306507350144653), ('5', '12'): np.float64(0.10700316525513803), ('5', '13'): np.float64(0.10700477830156721), ('7', '18'): np.float64(0.023718614182437595), ('9', '3'): np.float64(0.004106810974009403), ('9', '4'): np.float64(0.01913468105478322), ('9', '5'): np.float64(0.0018424307604368653), ('12', '1'): np.float64(0.0023073160749556886), ('12', '2'): np.float64(0.08103544248155303), ('12', '3'): np.float64(0.002078721755022669), ('12', '4'): np.float64(0.4528377594068972), ('12', '5'): np.float64(0.14640819220234855), ('13', '1'): np.float64(0.005768282504696579), ('13', '2'): np.float64(0.2430582742048075), ('13', '3'): np.float64(0.0010393617723658574), ('13', '4'): np.float64(0.4528537545253635), ('13', '5'): np.float64(0.14640902194893402), ('16', '18'): np.float64(0.1623324550142865), ('18', '7'): np.float64(0.022570256680155686), ('18', '16'): np.float64(0.18577249151633618), ('24', '1'): np.float64(0.004170994931776265)}"
8,82677.87308007815,False,Bound not satisfied,93.92361111111111,"{('1', '2'): np.float64(0.0005777902044765849), ('1', '12'): np.float64(0.0013912226463316272), ('1', '13'): np.float64(0.0034780415719186126), ('3', '2'): np.float64(0.028350432440197637), ('3', '4'): np.float64(0.0014747943065800294), ('3', '9'): np.float64(0.005942685543713612), ('3', '12'): np.float64(0.0015239777571858864), ('3', '13'): np.float64(0.0007619900663653993), ('4', '3'): np.float64(0.0016976221737745648), ('4', '9'): np.float64(0.03151284093634504), ('4', '12'): np.float64(0.32022767380026207), ('4', '13'): np.float64(0.32025843394204406), ('4', '24'): np.float64(0.5778133268027874), ('5', '2'): np.float64(0.1658980042731013), ('5', '9'): np.float64(0.0035405517944665267), ('5', '12'): np.float64(0.10424855448153941), ('5', '13'): np.float64(0.10425028473533407), ('7', '18'): np.float64(0.016167141432732457), ('9', '3'): np.float64(0.01598019676573876), ('9', '4'): np.float64(0.08653392829936157), ('9', '5'): np.float64(0.0083938933833499), ('12', '1'): np.float64(0.0015848313004216096), ('12', '2'): np.float64(0.02881838495342895), ('12', '3'): np.float64(0.0015108734817308222), ('12', '4'): np.float64(0.31659830882146944), ('12', '5'): np.float64(0.10211430883356298), ('13', '1'): np.float64(0.003962062424763872), ('13', '2'): np.float64(0.08632197297427469), ('13', '3'): np.float64(0.000755438019190266), ('13', '4'): np.float64(0.31662872291007654), ('13', '5'): np.float64(0.10211581134773637), ('16', '18'): np.float64(0.0981612141011266), ('18', '7'): np.float64(0.01543116112798118), ('18', '16'): np.float64(0.1142112822250157), ('24', '1'): np.float64(0.0030900640553197453)}"
9,72519.7852672252,False,Bound not satisfied,95.48611111111111,"{('1', '12'): np.float64(0.0007087182281330529), ('1', '13'): np.float64(0.001771771160904199), ('3', '4'): np.float64(0.0007204163544829063), ('3', '12'): np.float64(0.0008972796357052835), ('3', '13'): np.float64(0.0004486415766109123), ('4', '3'): np.float64(0.0007206377056323044), ('4', '12'): np.float64(0.16725480169370388), ('4', '13'): np.float64(0.16730868165443358), ('5', '12'): np.float64(0.05256875462299035), ('5', '13'): np.float64(0.052571597280988897), ('7', '18'): np.float64(0.010479515865015665), ('8', '4'): np.float64(7.756083584109946), ('8', '5'): np.float64(7.245560084839715), ('12', '1'): np.float64(0.0009843583375314094), ('12', '3'): np.float64(0.0010096772787744884), ('12', '4'): np.float64(0.19501106738845342), ('12', '5'): np.float64(0.06113153196035184), ('13', '1'): np.float64(0.00246087171174794), ('13', '3'): np.float64(0.000504840366456999), ('13', '4'): np.float64(0.19505916161121262), ('13', '5'): np.float64(0.06113383382566406), ('16', '18'): np.float64(0.05023620465265638), ('18', '7'): np.float64(0.009747892424027502), ('18', '16'): np.float64(0.06330982705599109), ('21', '5'): np.float64(7.492584682178801), ('24', '1'): np.float64(0.0008979236364183366)}"
10,64507.74848399681,False,Bound not satisfied,95.83333333333334,"{('1', '12'): np.float64(0.0003189430598232682), ('1', '13'): np.float64(0.0007973269350727737), ('3', '4'): np.float64(0.0001360745593848682), ('3', '12'): np.float64(0.0005391953934702457), ('3', '13'): np.float64(0.00026959986640099015), ('4', '3'): np.float64(0.0001743644095852535), ('4', '12'): np.float64(0.08315414159676038), ('4', '13'): np.float64(0.08322533320839731), ('5', '12'): np.float64(0.024165726882808825), ('5', '13'): np.float64(0.024169327354782416), ('7', '18'): np.float64(0.005329008326405961), ('12', '1'): np.float64(0.000499121305653335), ('12', '3'): np.float64(0.0005905058874750412), ('12', '4'): np.float64(0.0958439589927298), ('12', '5'): np.float64(0.027983597436578744), ('13', '1'): np.float64(0.0012477712974831587), ('13', '3'): np.float64(0.00029525511603592557), ('13', '4'): np.float64(0.09590992593871328), ('13', '5'): np.float64(0.027986683547383373), ('16', '18'): np.float64(0.0004394858239210597), ('18', '7'): np.float64(0.00401068538000951), ('18', '16'): np.float64(0.017298629356816808), ('19', '21'): np.float64(4.299208162585096), ('21', '5'): np.float64(14.331759371113531)}"
11,57355.468663588676,False,Bound not satisfied,98.4375,"{('3', '12'): np.float64(0.00014942629813932294), ('7', '18'): np.float64(0.0005226479577975576), ('12', '3'): np.float64(0.00018855076806345746), ('12', '4'): np.float64(0.0015473844521286528), ('13', '1'): np.float64(0.00010918474757865351), ('13', '4'): np.float64(0.001633231966834514), ('19', '21'): np.float64(14.28021401386318), ('21', '5'): np.float64(12.175617801505968), ('21', '19'): np.float64(12.394917197462938)}"
