,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
0,"('1', '2')",7850256.354236808,751.3060286965324,7851007.660265504,29.83
1,"('1', '3')",7933199.876098372,798.7786042541838,7933998.654702626,58.93
2,"('2', '1')",7849747.119148147,829.5868320084801,7850576.705980156,88.17
3,"('2', '6')",7796951.569157472,803.5214616836812,7797755.090619155,117.59
4,"('3', '1')",7929399.955171884,806.6051669799105,7930206.560338864,147.58
5,"('3', '4')",8229399.888730625,774.23538333586,8230174.12411396,177.6
6,"('3', '12')",8069389.469615877,815.5965123377722,8070205.066128215,207.54
7,"('4', '3')",8227509.7289685365,808.8415451436324,8228318.570513681,237.27
8,"('4', '5')",8382522.023009596,807.9854149999878,8383330.008424596,267.07
9,"('4', '11')",7840692.921910191,829.1600063527204,7841522.081916544,296.34
10,"('5', '4')",8388179.778117077,797.8827774541825,8388977.660894532,325.75
11,"('5', '6')",7873844.176321183,797.0285915262324,7874641.20491271,355.12
12,"('5', '9')",8344346.691639129,748.2099078471159,8345094.9015469765,384.85
13,"('6', '2')",7795993.78499442,801.7240399589629,7796795.509034378,413.77
14,"('6', '5')",7884131.981992882,788.2766801014066,7884920.258672983,443.26
15,"('6', '8')",8057795.328898419,774.4916419410015,8058569.820540359,472.91
16,"('7', '8')",8252021.076073298,785.2852458193859,8252806.361319117,502.99
17,"('7', '18')",8189872.154671255,768.1376643017479,8190640.292335556,533.18
18,"('8', '6')",8054569.718600476,808.5989068725437,8055378.317507349,562.91
19,"('8', '7')",8243764.90468883,840.9026681173043,8244605.807356947,592.94
20,"('8', '9')",8047545.109374435,785.2828383423106,8048330.392212777,622.68
21,"('8', '16')",7941044.917696833,754.2540366910093,7941799.171733524,652.13
22,"('9', '5')",8350575.527943127,781.1691531201659,8351356.697096247,681.65
23,"('9', '8')",8046374.823275479,757.7152680099218,8047132.538543489,711.17
24,"('9', '10')",8455042.152006708,776.4658578978242,8455818.617864605,741.45
25,"('10', '9')",8462103.54593787,788.0996154443889,8462891.645553313,771.19
26,"('10', '11')",8250999.228560442,783.2652710707025,8251782.4938315125,800.62
27,"('10', '15')",8480994.905124422,795.8826955826472,8481790.787820004,830.85
28,"('10', '16')",8015998.799665745,774.9408025291742,8016773.740468275,860.18
29,"('10', '17')",8034479.180345535,797.6384990625354,8035276.818844598,889.48
30,"('11', '4')",7840972.378535005,791.7926692229229,7841764.171204228,918.63
31,"('11', '10')",8253598.8485451145,795.3393915186678,8254394.187936633,947.83
32,"('11', '12')",7883022.716869413,826.3406401465695,7883849.057509559,977.02
33,"('11', '14')",7947291.998209036,810.258219141449,7948102.2564281775,1006.73
34,"('12', '3')",8073365.962469867,767.9095156738699,8074133.871985542,1036.78
35,"('12', '11')",7883033.407156781,788.4085040941351,7883821.815660875,1065.84
36,"('12', '13')",8082101.506786499,741.0683635748396,8082842.575150074,1095.58
37,"('13', '12')",8086916.457615729,753.6129631907266,8087670.07057892,1125.48
38,"('13', '24')",7937006.437759978,736.311644629662,7937742.749404607,1154.94
39,"('14', '11')",7950770.223964279,790.6844683622884,7951560.908432641,1184.04
40,"('14', '15')",7962617.100817069,776.7514889040065,7963393.852305974,1213.47
41,"('14', '23')",7869334.725368802,793.7007468995774,7870128.426115702,1242.69
42,"('15', '10')",8485817.227290789,786.7618151018992,8486603.989105891,1272.33
43,"('15', '14')",7966605.51757134,742.6480028616112,7967348.165574202,1302.58
44,"('15', '19')",8362119.509003274,806.6381111246188,8362926.147114399,1332.67
45,"('15', '22')",8189180.935468114,797.5843225530044,8189978.519790667,1362.12
46,"('16', '8')",7940784.389256159,783.7057058307618,7941568.09496199,1391.6
47,"('16', '10')",8012006.266521341,756.847548528011,8012763.114069869,1421.0
48,"('16', '17')",7933344.568032013,795.2805863512377,7934139.848618365,1450.42
49,"('16', '18')",8307777.817966451,755.5450278445999,8308533.362994296,1480.23
50,"('17', '10')",8031147.973855291,755.1964669848065,8031903.170322276,1509.72
51,"('17', '16')",7931024.045108854,792.0531587520805,7931816.0982676055,1539.46
52,"('17', '19')",7836470.511964094,818.5999848693076,7837289.111948963,1568.89
53,"('18', '7')",8201750.255311294,774.0620891784862,8202524.317400473,1598.88
54,"('18', '16')",8304226.203569125,775.7397455424845,8305001.943314668,1628.53
55,"('18', '20')",8349028.990850533,760.6106120136446,8349789.601462547,1658.05
56,"('19', '15')",8360552.497282753,763.5633893713807,8361316.060672124,1687.73
57,"('19', '17')",7830516.524897807,747.0792351100099,7831263.604132918,1717.54
58,"('19', '20')",7970128.630828159,800.0510232560107,7970928.681851415,1747.02
59,"('20', '18')",8360840.418443809,775.3449265810964,8361615.76337039,1776.94
60,"('20', '19')",7974162.432216232,817.4765675999884,7974979.908783832,1806.19
61,"('20', '21')",7877504.631755251,824.7512810685886,7878329.38303632,1835.12
62,"('20', '22')",7919195.184259096,745.2720131106234,7919940.456272207,1863.89
63,"('21', '20')",7872192.7537224665,765.873597529788,7872958.627319996,1892.45
64,"('21', '22')",7857815.142788972,753.5528723643104,7858568.695661336,1921.18
65,"('21', '24')",8002533.693315996,766.402248828047,8003300.095564824,1949.96
66,"('22', '15')",8185549.083303345,797.7270100299195,8186346.810313376,1978.7
67,"('22', '20')",7915745.454161926,758.6581648891583,7916504.112326816,2007.6
68,"('22', '21')",7858827.793554146,768.1717891954089,7859595.965343341,2036.42
69,"('22', '23')",7996855.372862346,760.6844099421851,7997616.057272288,2065.24
70,"('23', '14')",7868239.127921163,741.2309462638284,7868980.358867427,2093.94
71,"('23', '22')",7998751.848889674,780.7116636845543,7999532.560553359,2122.65
72,"('23', '24')",7791403.218079523,786.0142180081673,7792189.232297531,2151.07
73,"('24', '13')",7939420.016911455,811.785670195055,7940231.80258165,2179.58
74,"('24', '21')",7995461.160866338,777.5300973120903,7996238.69096365,2208.3
75,"('24', '23')",7788761.738429412,823.6149433278375,7789585.35337274,2236.82
