,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
0,"('1', '2')",7850328.140736441,8349.532405627333,7858677.673142068,24.01
1,"('1', '3')",7933275.431784835,7997.0782861096595,7941272.510070944,47.86
2,"('2', '1')",7849811.579782589,7496.098447865451,7857307.678230455,71.75
3,"('2', '6')",7797025.487298803,8069.298140985288,7805094.785439788,95.55
4,"('3', '1')",7929477.078444868,8076.464867618904,7937553.543312487,119.28
5,"('3', '4')",8229470.7751428,7773.034173073071,8237243.809315873,143.77
6,"('3', '12')",8069460.21369675,8146.837530340258,8077607.05122709,167.99
7,"('4', '3')",8227582.187957085,8139.649889015279,8235721.8378461,192.27
8,"('4', '5')",8382601.09749504,8171.7888891854145,8390772.886384225,216.18
9,"('4', '11')",7840776.62721937,8360.919963958606,7849137.547183328,239.91
10,"('5', '4')",8388256.647652505,8086.200110193692,8396342.847762698,263.89
11,"('5', '6')",7873910.445117848,8018.319852540901,7881928.764970389,287.89
12,"('5', '9')",8344413.534331792,7516.982121831877,8351930.516453624,312.08
13,"('6', '2')",7796068.863835936,8061.687004128062,7804130.550840065,335.93
14,"('6', '5')",7884197.789447684,7956.916878778612,7892154.706326462,359.9
15,"('6', '8')",8057871.74432483,7848.298473709434,8065720.04279854,383.89
16,"('7', '8')",8252082.196738247,7935.073667232995,8260017.27040548,408.3
17,"('7', '18')",8189927.488959214,7698.630163643252,8197626.119122857,432.99
18,"('8', '6')",8054646.82280687,8188.288864254395,8062835.111671124,456.93
19,"('8', '7')",8243830.7293767575,8487.035240279738,8252317.764617037,481.33
20,"('8', '9')",8047613.0905157905,7971.318581732013,8055584.4090975225,505.24
21,"('8', '16')",7941114.5244013285,7659.440084482281,7948773.964485811,529.11
22,"('9', '5')",8350645.183888201,7823.196532779886,8358468.380420981,553.38
23,"('9', '8')",8046442.409503552,7731.867201604317,8054174.276705156,578.26
24,"('9', '10')",8455127.37088794,7928.676459073269,8463056.047347015,602.26
25,"('10', '9')",8462188.159298249,8024.404825675309,8470212.564123925,626.86
26,"('10', '11')",8251071.945752697,7915.206094450923,8258987.151847148,650.7
27,"('10', '15')",8481062.893379334,8042.982650457365,8489105.876029791,675.53
28,"('10', '16')",8016077.017360133,7902.762317552448,8023979.779677685,699.29
29,"('10', '17')",8034551.860138312,8090.640806636062,8042642.500944948,723.3
30,"('11', '4')",7841052.041661879,7988.146860414152,7849040.188522293,747.39
31,"('11', '10')",8253674.388486449,8046.363343728798,8261720.751830177,771.06
32,"('11', '12')",7883105.858506531,8330.857668828217,7891436.71617536,794.77
33,"('11', '14')",7947360.705336555,7410.044637526101,7954770.749974081,818.66
34,"('12', '3')",8073434.930973351,7649.607534004124,8081084.538507355,843.1
35,"('12', '11')",7883113.877134281,7964.358614245169,7891078.235748527,866.74
36,"('12', '13')",8082165.379816242,7407.093995933379,8089572.473812175,890.93
37,"('13', '12')",8086983.01967333,7499.828347483104,8094482.8480208125,915.05
38,"('13', '24')",7937081.625173943,7416.322826508113,7944497.948000452,939.36
39,"('14', '11')",7950844.435408269,8009.68195703908,7958854.117365308,963.08
